,Node ID,NormX,NormY
0,1,3567,3479
1,2,3565,3490
2,3,3564,3490
3,4,3564,3492
4,5,3564,3497
5,6,3564,3512
6,7,3567,3476
7,8,3565,3470
8,9,3565,3469
9,10,3565,3465
10,11,3564,3520
11,12,3569,3441
12,13,3564,3526
13,14,3564,3527
14,15,3567,3533
15,16,3568,3539
16,17,3570,3438
17,18,3570,3547
18,19,3567,3430
19,20,3567,3423
20,21,3571,3553
21,22,3571,3555
22,23,3571,3562
23,24,3565,3412
24,25,3572,3566
25,26,3563,3401
26,27,3573,3568
27,28,3575,3569
28,29,3575,3572
29,30,3573,3581
30,31,3563,3383
31,32,3572,3582
32,33,3570,3585
33,34,3570,3588
34,35,3570,3590
35,36,3570,3593
36,38,3563,3370
37,39,3563,3367
38,40,3562,3339
39,41,3569,3600
40,42,3573,3615
41,43,3574,3614
42,44,3575,3622
43,45,3573,3621
44,46,3573,3623
45,47,3563,3598
46,48,3571,3627
47,49,3571,3626
48,50,3562,3597
49,51,3566,3633
50,52,3559,3590
51,53,3568,3633
52,54,3568,3635
53,55,3569,3635
54,56,3552,3577
55,58,3562,3337
56,59,3562,3322
57,60,3576,3643
58,61,3576,3654
59,62,3551,3576
60,63,3550,3577
61,64,3549,3573
62,65,3581,3638
63,66,3562,3315
64,67,3548,3572
65,68,3578,3659
66,69,3548,3571
67,70,3546,3569
68,71,3586,3632
69,72,3535,3557
70,73,3578,3661
71,74,3562,3312
72,75,3581,3667
73,76,3592,3623
74,77,3563,3308
75,78,3565,3295
76,79,3592,3693
77,80,3527,3553
78,81,3592,3622
79,82,3601,3609
80,83,3506,3542
81,84,3566,3292
82,85,3569,3283
83,86,3606,3599
84,87,3571,3280
85,88,3592,3694
86,89,3572,3278
87,90,3592,3695
88,91,3503,3540
89,92,3594,3701
90,93,3573,3274
91,94,3607,3597
92,95,3485,3532
93,96,3617,3579
94,97,3574,3272
95,98,3605,3727
96,99,3577,3263
97,100,3579,3258
98,101,3466,3523
99,102,3581,3255
100,103,3618,3577
101,104,3582,3253
102,105,3627,3565
103,106,3583,3249
104,107,3584,3246
105,108,3610,3740
106,109,3464,3523
107,110,3584,3232
108,111,3460,3522
109,112,3456,3518
110,113,3632,3560
111,114,3449,3517
112,115,3633,3558
113,116,3637,3557
114,117,3613,3745
115,118,3444,3519
116,119,3586,3226
117,120,3646,3552
118,121,3443,3519
119,122,3442,3519
120,123,3616,3752
121,124,3439,3519
122,125,3586,3225